label,text
1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,放行李：小6的尾箱可以说是非常深，空间又很大，很多人都说过，当时这个设计师也太牛了，4.5个行李箱完全没问题，每次旅行都塞得满满的。
1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,乘坐空间：轴距貌似有2米85左右，五个人的话基本是无压力的，驾驶位173的人坐着，后排还可以很松动。
1-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0,外型大气，流线型好，内室感觉高档，后排空间相当大。
1-0-0-0-1-0-0-0-1-0-0-0-0-0-0-0-0-0,驾驶室内部没有太多的变化，依旧保持了豪华舒适的风格，但是前排座椅在新A6上安装了一对运动款跑车座椅，就是平时大家叫做半桶椅的样式，因为使用了这款半桶椅，驾驶A6高速进弯时，
1-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0,空间舒适性很不错，前后排的空间很大，座椅也比较舒服
1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,空间很好，无论前排后排，都有足够的头部空间和腿部空间，后排坐三个人不会感到挤的感觉，还有就是后备箱很大，拉货的时候塞了十几箱货！
1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,后排空间超级大
1-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0,悬挂软，过滤小颠簸很棒，暴力驾驶时后排也不会有太多抱怨，座椅可调腰部支撑，很舒适，；左右空间宽敞，所以不会有压抑感，
1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,空间大，坐着不拥挤
1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,空间大，底盘稳
